seed,step,repeat,instance_id,input_sha256,protocol_sha256,source_sha256,conic_run_id,conic_physical_ok,conic_complete_ok,conic_status,conic_timeout,conic_root_status,conic_actual_root_source,conic_factor_iterations,conic_clarabel_iterations_known,conic_factor_fallback,conic_T_physical_return,conic_T_complete_return,conic_T_total,conic_objective_interval_width,conic_recovery_attempted,conic_recovery_success,conic_projected_collision_status,conic_exact_minimum_clearance,conic_workspace_result,conic_derivative_result,conic_T_build,conic_T_root,conic_T_projection,conic_T_recovery,conic_T_physical_cert,conic_T_objective_cert,conic_recovery_amplitude,conic_recovery_direction,conic_exact_objective_interval,conic_trajectory_energy_exact,factor_run_id,factor_physical_ok,factor_complete_ok,factor_status,factor_timeout,factor_root_status,factor_actual_root_source,factor_factor_iterations,factor_clarabel_iterations_known,factor_factor_fallback,factor_T_physical_return,factor_T_complete_return,factor_T_total,factor_objective_interval_width,factor_recovery_attempted,factor_recovery_success,factor_projected_collision_status,factor_exact_minimum_clearance,factor_workspace_result,factor_derivative_result,factor_T_build,factor_T_root,factor_T_projection,factor_T_recovery,factor_T_physical_cert,factor_T_objective_cert,factor_recovery_amplitude,factor_recovery_direction,factor_exact_objective_interval,factor_trajectory_energy_exact,delta_physical_ms,delta_complete_ms
31000,0,0,31000_0,6963e6d1eada8b8d46b833ab8cf67ae633db0733cbf5503750270170b521b54d,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t0_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,False,95.94874999311287,134.20049999695038,134.20316699921386,3.5937123558598338e-06,False,False,NO_NEGATIVE_WITNESS_FOUND,141399/9007199254740992,True,True,34.815332997823134,52.33312500058673,0.32266600464936346,2.772542000457179,5.153042002348229,37.704458001826424,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""2384231500935200489201140305509955088716762924792684758198321915823437196945257099622256261666494844255286296869940876907910315824049433554576668349046776653661384836909051192992704275325433547933565838634303180285669361658107287248333803132419741836523204445621298267042167811628918897719225895402798420360083473700127"",""147323063086283003506605519939228685837557420069036508468523445413128637522897397238419351397017778128589321390202021881240210221782043382344881928948551962407434211202873620655089297854383595782011341551613206126367480685214112322046325447110458297589994463578861203156153871787550292797795876763234786734868539637760""],""ok"":true,""upper"":[""323374048170813095742164445225941885451424641421"",""19981467697883438334816003572292931909358452736""]}","[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",A_r0_s31000_t0_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,True,93.85170799941989,127.68595800298499,127.69058300182223,3.5937123558598338e-06,False,False,NO_NEGATIVE_WITNESS_FOUND,141399/9007199254740992,True,True,32.84250000433531,52.35204199561849,0.32091700268210843,2.586458002042491,5.114041996421292,33.14916700037429,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""2384231500935200489201140305509955088716762924792684758198321915823437196945257099622256261666494844255286296869940876907910315824049433554576668349046776653661384836909051192992704275325433547933565838634303180285669361658107287248333803132419741836523204445621298267042167811628918897719225895402798420360083473700127"",""147323063086283003506605519939228685837557420069036508468523445413128637522897397238419351397017778128589321390202021881240210221782043382344881928948551962407434211202873620655089297854383595782011341551613206126367480685214112322046325447110458297589994463578861203156153871787550292797795876763234786734868539637760""],""ok"":true,""upper"":[""323374048170813095742164445225941885451424641421"",""19981467697883438334816003572292931909358452736""]}","[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",-2.097041993692983,-6.514541993965395
31000,0,1,31000_0,6963e6d1eada8b8d46b833ab8cf67ae633db0733cbf5503750270170b521b54d,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t0_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,False,93.45570800360292,128.0963330063969,128.1000830058474,3.5937123558598338e-06,False,False,NO_NEGATIVE_WITNESS_FOUND,141399/9007199254740992,True,True,33.60216700093588,51.09558399999514,0.30816700018476695,2.9205000028014183,4.976290998456534,33.8331249949988,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""2384231500935200489201140305509955088716762924792684758198321915823437196945257099622256261666494844255286296869940876907910315824049433554576668349046776653661384836909051192992704275325433547933565838634303180285669361658107287248333803132419741836523204445621298267042167811628918897719225895402798420360083473700127"",""147323063086283003506605519939228685837557420069036508468523445413128637522897397238419351397017778128589321390202021881240210221782043382344881928948551962407434211202873620655089297854383595782011341551613206126367480685214112322046325447110458297589994463578861203156153871787550292797795876763234786734868539637760""],""ok"":true,""upper"":[""323374048170813095742164445225941885451424641421"",""19981467697883438334816003572292931909358452736""]}","[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",A_r1_s31000_t0_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,True,95.31554199929815,130.56158399558626,130.5637920013396,3.5937123558598338e-06,False,False,NO_NEGATIVE_WITNESS_FOUND,141399/9007199254740992,True,True,32.84449999773642,53.507667005760595,0.3158750041620806,2.736165995884221,5.174541998712812,34.60025000094902,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""2384231500935200489201140305509955088716762924792684758198321915823437196945257099622256261666494844255286296869940876907910315824049433554576668349046776653661384836909051192992704275325433547933565838634303180285669361658107287248333803132419741836523204445621298267042167811628918897719225895402798420360083473700127"",""147323063086283003506605519939228685837557420069036508468523445413128637522897397238419351397017778128589321390202021881240210221782043382344881928948551962407434211202873620655089297854383595782011341551613206126367480685214112322046325447110458297589994463578861203156153871787550292797795876763234786734868539637760""],""ok"":true,""upper"":[""323374048170813095742164445225941885451424641421"",""19981467697883438334816003572292931909358452736""]}","[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",1.859833995695226,2.4652509891893715
31000,1,0,31000_1,ad1d8259b38d47d89d142860292e1437aa9b62fd27b5da179124bdd74a297ffe,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t1_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,30,False,93.02179200312821,126.67787499958649,126.68045800091932,7.3905847661453915e-06,True,True,COLLISION_WITNESSED,420701153367/9007199254740992,True,True,0.0687080028001219,25.93929100112291,0.28333299997029826,62.94033300218871,3.0427089950535446,32.958124997094274,"[""1132327292462172068864270140053"",""1987810128824303230127521660928""]","{""axis"":1,""sign"":-1}","{""lower"":[""6292130373212554504876225433522919530519497620060880450922228019396116194635828812203043981380836877158799776340641755294068143714900162663537631823470289335065535881181775532841949259100580253752315828542251354166818263967033563269302294479152618248233546878029385854777486203333870438256469739675852681541973873"",""385703678393833161146248296701628679740974275249959124977213839154734951724107504358097559624479293891938642742088430149258752097499846332458768088114913512244754850095370511654669408024828793316065513853625910152486348351858261374598329576271666277434756359885952033288043343040787781649951469262220263056998400""],""ok"":true,""upper"":[""651930815311171594561120811246176411655053062647"",""39962935395766876669632007144585863818716905472""]}","[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",A_r0_s31000_t1_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,4,30,True,102.5315419974504,136.67687500128523,136.67991699912818,7.3905847661453915e-06,True,True,COLLISION_WITNESSED,420701153367/9007199254740992,True,True,0.06391699571395293,33.66604199982248,0.40554100269218907,64.2119999974966,2.936417004093528,33.085916002164595,"[""1132327292462172068864270140053"",""1987810128824303230127521660928""]","{""axis"":1,""sign"":-1}","{""lower"":[""6292130373212554504876225433522919530519497620060880450922228019396116194635828812203043981380836877158799776340641755294068143714900162663537631823470289335065535881181775532841949259100580253752315828542251354166818263967033563269302294479152618248233546878029385854777486203333870438256469739675852681541973873"",""385703678393833161146248296701628679740974275249959124977213839154734951724107504358097559624479293891938642742088430149258752097499846332458768088114913512244754850095370511654669408024828793316065513853625910152486348351858261374598329576271666277434756359885952033288043343040787781649951469262220263056998400""],""ok"":true,""upper"":[""651930815311171594561120811246176411655053062647"",""39962935395766876669632007144585863818716905472""]}","[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",9.509749994322192,9.999000001698732
31000,1,1,31000_1,ad1d8259b38d47d89d142860292e1437aa9b62fd27b5da179124bdd74a297ffe,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t1_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,30,False,96.65204200427979,131.00491699879058,131.00779199885437,7.3905847661453915e-06,True,True,COLLISION_WITNESSED,420701153367/9007199254740992,True,True,0.06191700231283903,26.069624997035135,0.3242919992771931,66.24391699733678,2.9522920012823306,33.5602499981178,"[""1132327292462172068864270140053"",""1987810128824303230127521660928""]","{""axis"":1,""sign"":-1}","{""lower"":[""6292130373212554504876225433522919530519497620060880450922228019396116194635828812203043981380836877158799776340641755294068143714900162663537631823470289335065535881181775532841949259100580253752315828542251354166818263967033563269302294479152618248233546878029385854777486203333870438256469739675852681541973873"",""385703678393833161146248296701628679740974275249959124977213839154734951724107504358097559624479293891938642742088430149258752097499846332458768088114913512244754850095370511654669408024828793316065513853625910152486348351858261374598329576271666277434756359885952033288043343040787781649951469262220263056998400""],""ok"":true,""upper"":[""651930815311171594561120811246176411655053062647"",""39962935395766876669632007144585863818716905472""]}","[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",A_r1_s31000_t1_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,4,30,True,106.4124590047868,141.5195420049713,141.5231249993667,7.3905847661453915e-06,True,True,COLLISION_WITNESSED,420701153367/9007199254740992,True,True,0.06399999983841553,35.266708000563085,0.3200409992132336,66.33512499684002,3.259917000832502,33.82391699415166,"[""1132327292462172068864270140053"",""1987810128824303230127521660928""]","{""axis"":1,""sign"":-1}","{""lower"":[""6292130373212554504876225433522919530519497620060880450922228019396116194635828812203043981380836877158799776340641755294068143714900162663537631823470289335065535881181775532841949259100580253752315828542251354166818263967033563269302294479152618248233546878029385854777486203333870438256469739675852681541973873"",""385703678393833161146248296701628679740974275249959124977213839154734951724107504358097559624479293891938642742088430149258752097499846332458768088114913512244754850095370511654669408024828793316065513853625910152486348351858261374598329576271666277434756359885952033288043343040787781649951469262220263056998400""],""ok"":true,""upper"":[""651930815311171594561120811246176411655053062647"",""39962935395766876669632007144585863818716905472""]}","[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",9.760417000507005,10.514625006180722
31000,2,0,31000_2,cb52f868db74434a988ec566803da48a084044e97c5b6b9d37ae2cc65550015f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t2_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,False,86.54370900330832,149.66062500025146,149.66341700346675,1.4158259962455884e-06,True,True,COLLISION_WITNESSED,4201482455127/9007199254740992,True,True,0.06008399941492826,24.212374999478925,0.28191699675517157,58.296000002883375,2.9125000000931323,62.41816699912306,"[""264784116247244918056891031553"",""496952532206075807531880415232""]","{""axis"":1,""sign"":-1}","{""lower"":[""28223890709093555685779882866434169927285101389410577057774854015105054263476339543906999373805606021103701670627082386029086333990033402274457517000914819369164702456298223184567400565103607719501989711017130419797447968798205989441696898038753076423265703250245299653452675646231718216812342403614764767322906916151"",""1722595475050987865026025552990354526796499765353591324372498537265632177503102765467820847442520488586569355584056022085133808007034284430320009882687633321707412025037959221169616798787581871635689020344271998132078437938975683018834046900586736742806248453744311081894877457686778569898280214177478361667778641920""],""ok"":true,""upper"":[""1496624811406223910570534752915160794506210712491"",""91343852333181432387730302044767688728495783936""]}","[""117839425572827110580527405261589840001938255707633279436853"",""6752862245555530035211123719296754258071446577685754544128""]",A_r0_s31000_t2_factor,True,True,COMPLETE_SUCCESS,False,stationary,factor,4,0,False,66.38050000037765,97.77695799857611,97.7797500017914,1.5861819760071716e-08,True,True,COLLISION_WITNESSED,4205022439511/9007199254740992,True,True,0.059624995628837496,5.270458001177758,0.1822079939302057,57.31495800137054,2.7740000004996546,30.706375000590924,"[""264784054623988056030266574357"",""496952532206075807531880415232""]","{""axis"":1,""sign"":-1}","{""lower"":[""274485430136774325983359398476894142362330422362823199100617546772452202859187071114131687595931966544588001386875048201022885849607459452940240609844639335810197223866341336513742476994002562336131133296699178099142249785870908931823213383425874066808567840671495790235899722757342108006232127097315449390299111320277940138225629235098923"",""16752733505648352706558802732584810563929853326290625196355277828587128882411214336599149830829339042568800900801329195456024880213148339598728699860775208604559244821667270975199285682534721117693305766066636775699654982241712767521816378811260166918333603298112671886753949662873336062250039510822256976165352474721793342284979660390400""],""ok"":true,""upper"":[""1829415620194607420255622542344476131309"",""111655151645932933323919793063548944384""]}","[""353518300372451622053113464726131522349181025974223917100519"",""20258586736666590105633371157890262774214339733057263632384""]",-20.16320900293067,-51.88366700167535
31000,2,1,31000_2,cb52f868db74434a988ec566803da48a084044e97c5b6b9d37ae2cc65550015f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t2_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,28,False,87.81379200081574,122.80037500022445,122.80370799999218,1.4158259962455884e-06,True,True,COLLISION_WITNESSED,4201482455127/9007199254740992,True,True,0.0747500016586855,24.75962499738671,0.3115419967798516,59.0773750009248,2.732166998612229,34.07737499946961,"[""264784116247244918056891031553"",""496952532206075807531880415232""]","{""axis"":1,""sign"":-1}","{""lower"":[""28223890709093555685779882866434169927285101389410577057774854015105054263476339543906999373805606021103701670627082386029086333990033402274457517000914819369164702456298223184567400565103607719501989711017130419797447968798205989441696898038753076423265703250245299653452675646231718216812342403614764767322906916151"",""1722595475050987865026025552990354526796499765353591324372498537265632177503102765467820847442520488586569355584056022085133808007034284430320009882687633321707412025037959221169616798787581871635689020344271998132078437938975683018834046900586736742806248453744311081894877457686778569898280214177478361667778641920""],""ok"":true,""upper"":[""1496624811406223910570534752915160794506210712491"",""91343852333181432387730302044767688728495783936""]}","[""117839425572827110580527405261589840001938255707633279436853"",""6752862245555530035211123719296754258071446577685754544128""]",A_r1_s31000_t2_factor,True,True,COMPLETE_SUCCESS,False,stationary,factor,4,0,False,80.82066700444557,113.09779200382764,113.10037500516046,1.5861819760071716e-08,True,True,COLLISION_WITNESSED,4205022439511/9007199254740992,True,True,0.06737500370945781,5.540582998946775,0.1890419953269884,71.20991600095294,3.0036669995752163,31.457791999855544,"[""264784054623988056030266574357"",""496952532206075807531880415232""]","{""axis"":1,""sign"":-1}","{""lower"":[""274485430136774325983359398476894142362330422362823199100617546772452202859187071114131687595931966544588001386875048201022885849607459452940240609844639335810197223866341336513742476994002562336131133296699178099142249785870908931823213383425874066808567840671495790235899722757342108006232127097315449390299111320277940138225629235098923"",""16752733505648352706558802732584810563929853326290625196355277828587128882411214336599149830829339042568800900801329195456024880213148339598728699860775208604559244821667270975199285682534721117693305766066636775699654982241712767521816378811260166918333603298112671886753949662873336062250039510822256976165352474721793342284979660390400""],""ok"":true,""upper"":[""1829415620194607420255622542344476131309"",""111655151645932933323919793063548944384""]}","[""353518300372451622053113464726131522349181025974223917100519"",""20258586736666590105633371157890262774214339733057263632384""]",-6.99312499637017,-9.702582996396814
31000,3,0,31000_3,a9afec2a134cb80fb2f03e088c25477bfb4022380f2acd6044e0575ceb01140e,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t3_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,30,False,88.3531250001397,121.88487499952316,121.88758399861399,3.2212584409347055e-06,True,True,COLLISION_WITNESSED,9285625360287/18014398509481984,True,True,0.091125002654735,25.283916998887435,0.28295799711486325,59.38837499707006,2.601209002023097,32.791249999718275,"[""209555280197261351486559261"",""242652603616247952896425984""]","{""axis"":1,""sign"":-1}","{""lower"":[""157010606898301916788366228414250039316066571744325673094989816185501714531680808311450111770373480198333308575594345465904804247416597618641598535421791911845337609724913423349390816509504037242751067602210198171823353015835715110221810390772446428910818280949558588463056171375311533070754096849066421020373311903483601"",""9606184252356306767384052113122368703208595570033007818691209441441303116875644165585804326135049409034819339874809456441754660118134003284312384551507013902209081733794368453284494743148597030838241471817490926903560712201004083514677695535818754817865814096880283364865900456538549736985569557997800065219944586936320""],""ok"":true,""upper"":[""1959552038053312530179139347170863200966987230361"",""119888806187300630008896021433757591456150716416""]}","[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",A_r0_s31000_t3_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,5,30,True,97.69058299571043,132.26866599870846,132.27075000031618,3.2212584409347055e-06,True,True,COLLISION_WITNESSED,9285625360287/18014398509481984,True,True,0.06387499888660386,33.56620800332166,0.3008339990628883,59.957249999570195,2.8184160037199035,33.46208299626596,"[""209555280197261351486559261"",""242652603616247952896425984""]","{""axis"":1,""sign"":-1}","{""lower"":[""157010606898301916788366228414250039316066571744325673094989816185501714531680808311450111770373480198333308575594345465904804247416597618641598535421791911845337609724913423349390816509504037242751067602210198171823353015835715110221810390772446428910818280949558588463056171375311533070754096849066421020373311903483601"",""9606184252356306767384052113122368703208595570033007818691209441441303116875644165585804326135049409034819339874809456441754660118134003284312384551507013902209081733794368453284494743148597030838241471817490926903560712201004083514677695535818754817865814096880283364865900456538549736985569557997800065219944586936320""],""ok"":true,""upper"":[""1959552038053312530179139347170863200966987230361"",""119888806187300630008896021433757591456150716416""]}","[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",9.33745799557073,10.383790999185294
31000,3,1,31000_3,a9afec2a134cb80fb2f03e088c25477bfb4022380f2acd6044e0575ceb01140e,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t3_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,30,False,90.81862500170246,125.53716600086773,125.54012500186218,3.2212584409347055e-06,True,True,COLLISION_WITNESSED,9285625360287/18014398509481984,True,True,0.07525000546593219,25.669083996035624,0.30979199800640345,61.10945899854414,2.843792004568968,33.932416001334786,"[""209555280197261351486559261"",""242652603616247952896425984""]","{""axis"":1,""sign"":-1}","{""lower"":[""157010606898301916788366228414250039316066571744325673094989816185501714531680808311450111770373480198333308575594345465904804247416597618641598535421791911845337609724913423349390816509504037242751067602210198171823353015835715110221810390772446428910818280949558588463056171375311533070754096849066421020373311903483601"",""9606184252356306767384052113122368703208595570033007818691209441441303116875644165585804326135049409034819339874809456441754660118134003284312384551507013902209081733794368453284494743148597030838241471817490926903560712201004083514677695535818754817865814096880283364865900456538549736985569557997800065219944586936320""],""ok"":true,""upper"":[""1959552038053312530179139347170863200966987230361"",""119888806187300630008896021433757591456150716416""]}","[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",A_r1_s31000_t3_factor,True,True,COMPLETE_SUCCESS,False,optimal,conic,5,30,True,100.2206670018495,135.0185839983169,135.0214589983807,3.2212584409347055e-06,True,True,COLLISION_WITNESSED,9285625360287/18014398509481984,True,True,0.07124999683583155,34.22462500020629,0.34516600135248154,61.61204200179782,2.7834580032504164,33.63362499658251,"[""209555280197261351486559261"",""242652603616247952896425984""]","{""axis"":1,""sign"":-1}","{""lower"":[""157010606898301916788366228414250039316066571744325673094989816185501714531680808311450111770373480198333308575594345465904804247416597618641598535421791911845337609724913423349390816509504037242751067602210198171823353015835715110221810390772446428910818280949558588463056171375311533070754096849066421020373311903483601"",""9606184252356306767384052113122368703208595570033007818691209441441303116875644165585804326135049409034819339874809456441754660118134003284312384551507013902209081733794368453284494743148597030838241471817490926903560712201004083514677695535818754817865814096880283364865900456538549736985569557997800065219944586936320""],""ok"":true,""upper"":[""1959552038053312530179139347170863200966987230361"",""119888806187300630008896021433757591456150716416""]}","[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",9.402042000147048,9.48141799744917
31000,4,0,31000_4,76430d5efde0b718d8a7860b3be6e6b21fef1bf2380fb50f61db359783d9db79,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t4_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,36,False,97.14812499441905,131.9635420004488,131.96645800053375,5.54234650265539e-06,True,True,COLLISION_WITNESSED,338473578399/18014398509481984,True,True,0.062457998865284026,29.223957993963268,0.29233300301712006,64.06150000111666,2.774666005279869,34.04787500039674,"[""837565492970244257324253783"",""970610414464991811585703936""]","{""axis"":1,""sign"":-1}","{""lower"":[""6368214987856434958786143893886659571989710972353830432925923231345419665410156176766271513694135588421816531127350077327388503094788538991039209714967505265238419691044134214306610384159146290564774041705856767683877301354805717140465301526056605780938099078399986347061937264894837259284904650788839087612541051582491"",""390868800352238950717059247435701762941072692703021032846437657010813738881404464277117311879220770337943704207962779181224771215432144423411783826161240448850597126790692134219544461108760942105584999461390412222804872387370226494848423515059150041846161932026681586070879284345506498799995873641863652680164387586048""],""ok"":true,""upper"":[""1302189637492882872342482547252984799576924667339"",""79925870791533753339264014289171727637433810944""]}","[""465626889048319964268081103627096680972281138511463557"",""25760125143262977734417433621584908516202722845786112""]",A_r0_s31000_t4_factor,True,True,COMPLETE_SUCCESS,False,stationary,factor,7,0,False,46.64216699893586,96.00279199366923,96.00562499690568,1.4278553051378845e-08,False,False,NO_NEGATIVE_WITNESS_FOUND,-4193/18014398509481984,True,True,0.08408400026382878,7.843458006391302,0.20304200006648898,5.556999996770173,32.39570799632929,48.80787499860162,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""11262040760876576859441244362612499915580152533990831854080803943146053178807027606818362528217511418594390660880310322623446459302668249241637112690516260040476045965496003323464010683976537511427767968369922011996324450894986662102661156959073809498228823158009058185229221819716175015749532413359939464059326090987315471183827228357705642243173"",""691242189076247429679213629467454872139682329135685501304086456693403717656567452767547244562785472924408339975181475209444545117001239246226445168653132664948325871487932616324602278124954850846500404433661719284573537245131380674958404605364660210548553142726790023892602885949023975111833530748143421341360308515483698663034451095084010045440""],""ok"":true,""upper"":[""15045841359682640333677719601370561377037304565939020675113365667160856722065129809074415643715028039412576268088741"",""923484520227995606537790002347115948556556389151533906280038126662009104019465873705021865348865210331405343522816""]}","[""3638275816992058538237758192530009210853"",""223310303291865866647839586127097888768""]",-50.505957995483186,-35.96075000677956
31000,4,1,31000_4,76430d5efde0b718d8a7860b3be6e6b21fef1bf2380fb50f61db359783d9db79,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t4_conic,True,True,COMPLETE_SUCCESS,False,optimal,conic,0,36,False,98.50970799743664,132.92583300062688,132.92870800069068,5.54234650265539e-06,True,True,COLLISION_WITNESSED,338473578399/18014398509481984,True,True,0.059042002249043435,29.017499997280538,0.29674999677808955,65.44341600238113,2.8190410012030043,33.593915999517776,"[""837565492970244257324253783"",""970610414464991811585703936""]","{""axis"":1,""sign"":-1}","{""lower"":[""6368214987856434958786143893886659571989710972353830432925923231345419665410156176766271513694135588421816531127350077327388503094788538991039209714967505265238419691044134214306610384159146290564774041705856767683877301354805717140465301526056605780938099078399986347061937264894837259284904650788839087612541051582491"",""390868800352238950717059247435701762941072692703021032846437657010813738881404464277117311879220770337943704207962779181224771215432144423411783826161240448850597126790692134219544461108760942105584999461390412222804872387370226494848423515059150041846161932026681586070879284345506498799995873641863652680164387586048""],""ok"":true,""upper"":[""1302189637492882872342482547252984799576924667339"",""79925870791533753339264014289171727637433810944""]}","[""465626889048319964268081103627096680972281138511463557"",""25760125143262977734417433621584908516202722845786112""]",A_r1_s31000_t4_factor,True,True,COMPLETE_SUCCESS,False,stationary,factor,7,0,False,28.19729199836729,78.19166699482594,78.19470899994485,1.4278553051378845e-08,False,False,NO_NEGATIVE_WITNESS_FOUND,-4193/18014398509481984,True,True,0.07683399599045515,7.896875002188608,0.19795799744315445,5.56937499641208,13.889583002310246,49.41374999907566,"[""0"",""1""]","{""axis"":null,""sign"":null}","{""lower"":[""11262040760876576859441244362612499915580152533990831854080803943146053178807027606818362528217511418594390660880310322623446459302668249241637112690516260040476045965496003323464010683976537511427767968369922011996324450894986662102661156959073809498228823158009058185229221819716175015749532413359939464059326090987315471183827228357705642243173"",""691242189076247429679213629467454872139682329135685501304086456693403717656567452767547244562785472924408339975181475209444545117001239246226445168653132664948325871487932616324602278124954850846500404433661719284573537245131380674958404605364660210548553142726790023892602885949023975111833530748143421341360308515483698663034451095084010045440""],""ok"":true,""upper"":[""15045841359682640333677719601370561377037304565939020675113365667160856722065129809074415643715028039412576268088741"",""923484520227995606537790002347115948556556389151533906280038126662009104019465873705021865348865210331405343522816""]}","[""3638275816992058538237758192530009210853"",""223310303291865866647839586127097888768""]",-70.31241599906934,-54.734166005800944
